time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.2275	1.42042	5.20057	0.252445	0.208082	radar	4.04279	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.468	1.48533	5.19086	0.262871	0.208203	lidar	0.338888	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6942	1.59	5.0574	0.292348	0.231064	radar	3.3737	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.9286	1.63698	5.0454	0.29402	0.221378	lidar	0.528349	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.2063	1.65439	5.09638	0.280398	0.195668	radar	1.59809	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4583	1.70804	5.09911	0.283018	0.188572	lidar	0.186694	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6788	1.74275	5.03494	0.281329	0.17894	radar	1.16317	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.9142	1.80593	5.02766	0.287867	0.176664	lidar	0.154393	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1682	1.92141	5.116	0.309322	0.186937	radar	1.2514	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.4104	1.96928	5.10622	0.307569	0.176229	lidar	0.320104	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6661	2.0051	5.16283	0.298139	0.156551	radar	1.28132	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8949	2.1022	5.15391	0.314555	0.164958	lidar	0.6897	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.1617	2.25103	5.26996	0.342382	0.180962	radar	2.44277	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.3918	2.35775	5.26055	0.358915	0.188286	lidar	0.674001	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.5198	2.57568	5.07933	0.42776	0.252011	radar	12.4548	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7551	2.67096	5.08003	0.435909	0.247716	lidar	0.0642674	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9665	2.77829	5.04522	0.450911	0.251671	radar	0.32869	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1918	2.89768	5.04832	0.466317	0.254324	lidar	0.0178499	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4533	2.98343	5.14073	0.460017	0.230899	radar	1.36031	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6763	3.07278	5.12354	0.463527	0.223498	lidar	0.526818	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8933	3.28596	5.20572	0.505472	0.249198	radar	3.18269	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.1119	3.43195	5.20849	0.525008	0.255839	lidar	0.100034	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.3126	3.64104	5.17528	0.570472	0.290867	radar	2.17899	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.5269	3.79047	5.17825	0.58793	0.293557	lidar	0.012351	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.7422	3.87621	5.13615	0.584534	0.278183	radar	1.18411	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9565	4.01526	5.13533	0.596938	0.276799	lidar	0.00492023	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1525	4.17434	5.059	0.623976	0.296145	radar	1.63015	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3501	4.34566	5.06814	0.64648	0.303109	lidar	0.0835803	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5706	4.49354	5.08937	0.655777	0.296515	radar	0.423703	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.7601	4.66064	5.08847	0.675368	0.300878	lidar	0.175349	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8988	4.8704	4.94678	0.729171	0.351943	radar	4.65256	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.069	5.07078	4.96151	0.758794	0.362645	lidar	0.205002	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.2483	5.18939	4.89764	0.764961	0.35632	radar	1.37561	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.4117	5.37912	4.90368	0.790024	0.362727	lidar	0.13683	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5775	5.48556	4.80972	0.795054	0.357659	radar	2.59376	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.7477	5.65085	4.80647	0.81009	0.355179	lidar	0.0162948	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8874	5.85575	4.76145	0.847896	0.380797	radar	1.03785	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0414	6.05478	4.77635	0.872352	0.385364	lidar	0.150447	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1884	6.28521	4.8198	0.903512	0.393939	radar	0.970458	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.3186	6.51303	4.84128	0.936214	0.405011	lidar	0.264401	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4469	6.73878	4.8469	0.969135	0.418407	radar	0.344619	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5877	6.9114	4.82542	0.981655	0.411481	lidar	0.192991	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7457	7.11353	4.87642	0.989192	0.391976	radar	0.660383	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9016	7.28207	4.85621	0.994869	0.380342	lidar	0.520663	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9651	7.49424	4.7761	1.04069	0.415287	radar	3.30561	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0694	7.73274	4.79925	1.07167	0.423643	lidar	0.177733	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2024	7.91895	4.80142	1.07846	0.407251	radar	0.330231	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.3006	8.14075	4.80487	1.10369	0.411313	lidar	0.203709	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3918	8.33972	4.80687	1.11811	0.39984	radar	2.18453	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4975	8.52435	4.77578	1.1307	0.394157	lidar	0.507998	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5903	8.7177	4.72793	1.15245	0.402188	radar	0.600178	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7095	8.90899	4.71187	1.16143	0.393159	lidar	0.634154	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.7692	9.15533	4.70355	1.20111	0.417326	radar	0.714537	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.8693	9.37067	4.70512	1.21673	0.41293	lidar	0.637849	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.8957	9.61252	4.67037	1.26513	0.448572	radar	1.47673	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	19.9735	9.83551	4.67343	1.28489	0.446297	lidar	0.27393	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.0059	10.1525	4.79589	1.3198	0.443191	radar	6.79209	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.0654	10.3917	4.80379	1.3422	0.443229	lidar	0.112527	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.0602	10.6459	4.78618	1.39188	0.477028	radar	1.67704	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.1135	10.8843	4.79202	1.41248	0.474239	lidar	0.575449	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.1209	11.1919	4.88281	1.44548	0.471782	radar	4.23113	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.1673	11.4111	4.85987	1.4612	0.465962	lidar	0.203152	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.0612	11.7052	4.84831	1.54997	0.547769	radar	7.92939	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.1099	11.912	4.8121	1.56119	0.535683	lidar	1.85312	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.1552	12.1238	4.82286	1.54817	0.474832	radar	3.51961	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.1638	12.3725	4.83203	1.5709	0.473789	lidar	0.292242	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
